card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
12,0,CARD_LEVEL,20,항공마일리지,FIXED_AMOUNT,,1500,,"대한항공 1,500원당 1마일/아시아나항공 1,000원당 1마일"
12,300000,INLINE,16,프리미엄,FIXED_AMOUNT,,300000,,특급 호텔 발렛파킹/면세점 우대 서비스 (전월실적 30만원 이상)
14,300000,CARD_LEVEL,18,카페,FIXED_AMOUNT,,2500000,,스타벅스 모바일쿠폰 보너스 리워드 (분기별 실적 250만원 이상)
16,300000,INLINE,16,프리미엄,FIXED_AMOUNT,,300000,,Platinum # 서비스(전월실적 30만원 이상)
21,300000,INLINE,10,영화,FIXED_AMOUNT,,300000,,온라인 영화 예매 할인 (전월실적 30만원 이상)
21,300000,INLINE,16,프리미엄,FIXED_AMOUNT,,300000,,Platinum# 서비스 및 국제브랜드사 서비스 (전월실적 30만원 이상)
39,300000,INLINE,10,영화,FIXED_AMOUNT,,300000,,롯데시네마 일반관 5천원 현장 할인 (전월실적 30만원 이상)
54,300000,INLINE,28,프리미엄 서비스,FIXED_AMOUNT,,300000,,아멕스 PLATINUM 등급 서비스 [전월 실적 30만원 이상]
130,500000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,1000000,,"쿠폰서비스
(카드 발급 첫해:100만원이상 이용 시, 다음해 이후:전년도 1000만원 이상 이용 시)"
131,500000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,1000000,,"쿠폰서비스
(카드 발급 첫해:100만원이상 이용 시, 다음해 이후:전년도 1000만원 이상 이용 시)"
185,400000,CARD_LEVEL,14,생활,FIXED_AMOUNT,,10000,,아파트관리비 최대 1만원 할인
185,400000,CARD_LEVEL,1,쇼핑,FIXED_AMOUNT,,10000,,쇼핑 최대 1만원 할인
215,500000,CARD_LEVEL,21,온라인쇼핑,FIXED_AMOUNT,,100000,,퇴근 후 할인 - 온라인쇼핑 10만원 이상 결제 시 5천원 결제일 할인
215,500000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,10000,,"주말 할인 - 롯데시네마, CGV 1만원 이상 결제 시 3천원 결제일 할인"
251,300000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,10000,,국내 영화관 영화표 1만원 이상 결제하면 5천원 청구할인
346,300000,CARD_LEVEL,25,정비,FIXED_AMOUNT,,20000,,스피드메이트 엔진오일교환 2만원 현장할인 및 정비 할인
350,200000,CARD_LEVEL,25,정비,FIXED_AMOUNT,,20000,,스피드메이트 엔진오일교환 2만원 현장할인 및 정비 할인
423,0,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,500000,,최대 50만원 상당의 바우처 제공(연 1회)
465,300000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,10000,,"CGV, 메가박스, 롯데시네마 영화표 1만원 이상 결제하면 5천원 청구할인 (월 1회)"
500,0,CARD_LEVEL,15,면세점,FIXED_AMOUNT,,50000,,신세계면세점 선불카드 5만원 증정
522,500000,CARD_LEVEL,5,통신,FIXED_AMOUNT,,10000,,통신요금 자동이체 1만원~1만5천원 청구할인
529,500000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,200000,,최대 20만원 상당의 바우처 제공(연 1회)
539,0,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,30000,,3만원 상당 기프트카드 제공
540,400000,CARD_LEVEL,6,기타,FIXED_AMOUNT,,6000000,,"누적 이용금액 600만원 달성 시, 1만원 보너스 캐시백"
551,500000,CARD_LEVEL,14,생활,FIXED_AMOUNT,,10000,,자동납부 5천원/1만원 캐시백
569,500000,CARD_LEVEL,14,생활,FIXED_AMOUNT,,10000,,4대 디지털 스트리밍 서비스 1만원 청구 할인
626,1500000,CARD_LEVEL,6,기타,FIXED_AMOUNT,,50000,,SPECIAL GIFT 서비스: 특급호텔 F&B 5만원 이용권
627,0,CARD_LEVEL,6,기타,FIXED_AMOUNT,,50000,,SPECIAL GIFT 서비스: 특급호텔 F&B 5만원 이용권
693,400000,CARD_LEVEL,25,정비,FIXED_AMOUNT,,40000,,"스피드메이트/오토오아시스/현대 블루핸즈/기아 오토큐
연 최대 4만원 결제일 할인"
707,750000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,60000,,큰 금액 이용할 때 6만원 Flex Voucher까지
717,0,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,50000,,"프리미엄 기프트 5만원 상당 제공(연 1회, 택 1)"
724,0,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,600000,,"[공통 제공 혜택]
트래블·호텔·쇼핑 영역별 최대 4매, 총 60만원까지 연 1회 선택 가능"
769,300000,INLINE,10,영화,FIXED_AMOUNT,,300000,,CGV/메가박스 온라인 영화 예매 청구할인 (전월실적 30만원 이상)
769,300000,INLINE,11,테마파크,FIXED_AMOUNT,,300000,,롯데월드/에버랜드/캐리비안베이 현장할인 (전월실적 30만원 이상)
890,500000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,20000,,스페셜기프트 - 매년 2만원 캐시백 지급
952,300000,CARD_LEVEL,3,주유,FIXED_AMOUNT,,50000,,SK주유소 월 최대 5만원 할인
1002,400000,CARD_LEVEL,5,통신,FIXED_AMOUNT,,20000,,통신요금 최대 2만원 할인
1006,500000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,3000000,,매년 1회 Gift Option 선택 제공 (전년도 실적 300만원 이상)
1006,500000,INLINE,35,골프,FIXED_AMOUNT,,500000,,골프 쇼핑 or 레슨 할인 (전월실적 50만원 이상)
1253,300000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,300000,,"지난달 이용실적 30만원 이상 시 청구할인 제공
CGV, 메가박스, 롯데시네마 3천원 할인"
1253,300000,CARD_LEVEL,18,카페,FIXED_AMOUNT,,300000,,"지난달 이용실적 30만원 이상 시 청구할인 제공
스타벅스, 커피빈 4천원 할인 (월 4천원 한도, 월 1회)"
1379,300000,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,110000,,"쿠폰서비스 [연1회, 12가지 쿠폰서비스 중 택1]
최대 11만원 상당 제공"
1597,500000,CARD_LEVEL,32,해외이용,FIXED_AMOUNT,,1000,,"해외 이용금액 1,000원당 총 2마일 적립"
1597,500000,CARD_LEVEL,15,면세점,FIXED_AMOUNT,,1000,,"신라면세점 더 심플(앱) 1,000원당 총 2마일 적립"
1731,0,CARD_LEVEL,23,바우처,FIXED_AMOUNT,,1000000,,100만원 상당 선택 제공 기프트 ①~⑤ 택 1 (연 1회)
